id;author;title;description;url;url_to_image;published_at;category;content;country_code;language_code;sentiment;text_readability;number_of_parts
1;mobile Fish;Home Loan Account Table Computer;../fake-data/blob/hipster.txt;http://jadon.org;Savings Account alarm;Tasty Metal Bacon;red Chips Soap;../fake-data/blob/hipster.txt;GA;Al;Namibia;Steel zero administration;36636
2;Common;Savings Account syndicate Planner;../fake-data/blob/hipster.txt;http://alyce.org;Yuan Renminbi Centers;Factors;South Dakota envisioneer Music;../fake-data/blob/hipster.txt;DE;Mo;Games Regional Digitized;copy convergence;20794
3;Georgia Industrial;connect Markets Chief;../fake-data/blob/hipster.txt;https://mona.org;Awesome;Aruba;software scale interactive;../fake-data/blob/hipster.txt;SR;co;bifurcated scalable;Small;98688
4;index orange;Jewelery;../fake-data/blob/hipster.txt;http://mekhi.net;1080p Checking Account Identity;Frozen IB;Highway Ergonomic;../fake-data/blob/hipster.txt;GU;Le;pixel withdrawal;Mississippi embrace Developer;84891
5;hard drive Robust Networked;Poland;../fake-data/blob/hipster.txt;http://bernita.com;Intelligent Outdoors;Harbor Montana;Corporate Phased relationships;../fake-data/blob/hipster.txt;RE;Us;Money Market Account;Salad Web virtual;63340
6;RSS;mint green e-business EXE;../fake-data/blob/hipster.txt;http://raegan.com;granular Direct contextually-based;synergies copying;ability Hat Iraq;../fake-data/blob/hipster.txt;KP;Ba;24/7;Gloves sky blue Oklahoma;40383
7;Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;../fake-data/blob/hipster.txt;http://dock.name;Berkshire Small Plastic Pants Investor;Canadian Dollar;Berkshire Designer;../fake-data/blob/hipster.txt;DM;Bu;Re-contextualized;web-enabled invoice withdrawal;53577
8;Licensed hacking installation;Argentine Peso;../fake-data/blob/hipster.txt;https://lance.biz;red firewall open-source;deposit Sausages;disintermediate Cambridgeshire hacking;../fake-data/blob/hipster.txt;NP;ba;SMS Enhanced;Bacon Designer;51663
9;content-based Executive;Customer Human deposit;../fake-data/blob/hipster.txt;http://duncan.info;bus Internal AI;THX bypassing Marketing;Dynamic Home Loan Account Tools;../fake-data/blob/hipster.txt;BL;in;Buckinghamshire Ports;Devolved driver Networked;32539
10;navigate;program alarm;../fake-data/blob/hipster.txt;http://kenyon.name;Berkshire;dedicated Persevering;Coordinator Cambridgeshire Investor;../fake-data/blob/hipster.txt;IR;do;white sensor local;calculate;4360
