id;generate_corpuses;corpuses_output_path;news_api_key;activate_all_categories_and_countries
1;false;customized payment;Grass-roots Cambridgeshire;false
2;true;Adaptive Intelligent Pants;Avon;true
3;false;scalable;Unbranded Fresh Car;false
4;true;infomediaries;Executive Regional Wisconsin;true
5;true;parsing;Bedfordshire;true
6;true;Assurance Nebraska Mississippi;synthesizing;false
7;false;orchestration channels Buckinghamshire;Bouvet Island (Bouvetoya);true
8;true;asymmetric Montana Sausages;internet solution Checking Account;false
9;false;Rubber Awesome Frozen Mouse;Trinidad and Tobago Dollar;false
10;false;UAE Dirham;Rubber Mall Investment Account;true
