id;news_api_calls;five_filter_api_calls;started;ended;duration;total_articles;indexing;articles_saved;error_message;had_error
1;77714;37798;2019-10-27T16:10:49;2019-10-27T12:39:36;42422;24872;true;33025;../fake-data/blob/hipster.txt;false
2;43445;49262;2019-10-27T23:29:37;2019-10-28T05:18:34;40520;46866;true;5630;../fake-data/blob/hipster.txt;true
3;11881;76719;2019-10-28T02:45:40;2019-10-27T09:50:06;64921;74421;true;68103;../fake-data/blob/hipster.txt;true
4;23750;96217;2019-10-27T19:58:36;2019-10-27T20:35:06;47771;28571;false;86859;../fake-data/blob/hipster.txt;true
5;22359;43633;2019-10-27T06:27:53;2019-10-27T10:19:53;1215;97790;true;55600;../fake-data/blob/hipster.txt;false
6;32268;89114;2019-10-28T04:32:25;2019-10-27T16:55:02;92464;99296;true;7379;../fake-data/blob/hipster.txt;false
7;55385;69541;2019-10-27T06:19:08;2019-10-28T03:46:17;52309;16621;true;21680;../fake-data/blob/hipster.txt;true
8;29449;45454;2019-10-27T05:40:56;2019-10-27T14:31:14;69692;58431;false;90115;../fake-data/blob/hipster.txt;true
9;4544;91525;2019-10-27T22:50:20;2019-10-27T06:34:24;95041;5786;true;39452;../fake-data/blob/hipster.txt;false
10;10675;62013;2019-10-27T21:31:34;2019-10-27T22:55:29;16967;18812;true;46369;../fake-data/blob/hipster.txt;false
