id;content;original_cleaned_content;total_words;header;readability
1;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;81011;false;Personal Loan Account Sleek Beauty
2;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;62789;true;deposit
3;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;70196;false;Unbranded Fresh Pants Tools California
4;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;43847;true;Garden Dale Wallis and Futuna
5;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;28654;true;TCP Assimilated
6;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;3883;true;back-end
7;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;12706;false;synthesizing composite
8;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;96525;true;Refined Intelligent Granite Shirt
9;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;54063;true;Metal Frozen
10;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;96953;true;alliance redundant global
