id;text;blank_text;lingo_order;pos_tag;lemma;ner_tag
1;Borders reboot;mobile Cheese;31172;Robust hack Electronics;application Cambridgeshire;scalable connecting Fantastic
2;Creek Investment Account Buckinghamshire;Shoes Intuitive;72225;driver payment Mexican Peso Mexican Unidad de Inversion (UDI);port Money Market Account;Chips National Idaho
3;vortals value-added;Salad Connecticut;50588;Money Market Account;bus;Security Virginia
4;solid state Clothing deposit;Maine Checking Account markets;73644;Configuration;District Wooden Visionary;hacking
5;programming;FTP;51883;New Mexico;streamline navigate;neural
6;Money Market Account;synergize;53739;Chief web-enabled interactive;District Idaho Grocery;Concrete Towels Avon
7;Automotive frame;Indiana deposit Electronics;66353;Chips Division;Massachusetts;Awesome Officer Bedfordshire
8;application scale;indigo National;20513;orchid Tools;generating Arkansas;synthesize
9;Macedonia Japan;target Rhode Island;15524;Pants;Tasty navigate didactic;payment schemas Industrial
10;calculating;withdrawal Toys white;23107;Moldovan Leu;Checking Account;multi-byte Salad
